"jahr","straftat","anzahl"
"2010","Ordnungswidrige Führung der Geschäftsbücher (Art. 325)",3
"2010","Veruntreuung (Art. 138)",32
"2010","Unrechtmässige Aneignung (Art. 137)",25
"2010","Fälschung von Ausweisen (Art. 252)",22
"2010","Nötigung (Art. 181)",42
"2010","Misswirtschaft (Art. 165)",3
"2010","Verletzung des Schriftgeheimnisses (Art. 179)",9
"2010","Missbrauch einer Fernmeldeanlage (Art. 179septies)",46
"2010","Sexuelle Belästigungen (Art. 198)",17
"2010","Datenbeschädigung (Art. 144bis)",1
"2010","Erpressung (Art. 156)",4
"2010","Beteiligung Angriff (Art. 134)",22
"2010","Verletzung des Geheim- oder Privatbereichs durch Aufnahmegeräte (Art. 179quater)",13
"2010","Sexuelle Handlungen mit Kindern (Art. 187)",22
"2010","Raub (Art. 140)",27
"2010","Hinderung einer Amtshandlung (Art. 286)",20
"2010","Ungehorsam des Schuldners im Betreibungs- + Konkursverfahren (Art. 323)",10
"2010","Ungetreue Geschäftsbesorgung (Art. 158)",1
"2010","Fahrlässige Verursachung einer Feuersbrunst (Art. 222)",12
"2010","Sachentziehung (Art. 141)",19
"2010","Verleumdung (Art. 174)",6
"2010","Trickdiebstahl (Art. 139)",42
"2010","Beteiligung Raufhandel (Art. 133)",54
"2010","Üble Nachrede (Art. 173)",4
"2010","Hehlerei (Art. 160)",11
"2010","Erschleichung einer falschen Beurkundung (Art. 253)",1
"2010","Gefährdung des Lebens (Art. 129)",26
"2010","Zechprellerei (Art. 149)",14
"2010","Vergewaltigung (Art. 190)",5
"2010","Unwahre Angaben gegenüber Handelsregisterbehörden (Art. 153)",0
"2010","Amtsanmassung (Art. 287)",1
"2010","Unbefugtes Eindringen in ein Datenverarbeitungssystem (Art. 143bis)",2
"2010","Falsche Anschuldigung (Art. 303)",7
"2010","Arglistige Vermögensschädigung (Art. 151)",1
"2010","Exhibitionismus (Art. 194)",13
"2010","Verfügung über mit Beschlag belegte Vermögenswerte (Art. 169)",3
"2010","Schändung (Art. 191)",2
"2010","Schwere Körperverletzung (Art. 122)",15
